record_type,task_name,difficulty_label,difficulty_order,train_count,stage,split_count,source_count,split_seeds,mean_probe_bit_accuracy,mean_probe_bit_accuracy_std,mean_probe_exact_accuracy,mean_probe_exact_accuracy_std,majority_vote_bit_accuracy,majority_vote_bit_accuracy_std,majority_vote_exact_accuracy,majority_vote_exact_accuracy_std,direct_pairwise_agreement,direct_pairwise_agreement_std,majority_fraction_agreement,majority_fraction_agreement_std,unanimously_same_prediction_bit_fraction,unanimously_same_prediction_bit_fraction_std,mean_prediction_entropy_bits,mean_prediction_entropy_bits_std,mean_pairwise_prediction_bit_hamming_distance,mean_pairwise_prediction_bit_hamming_distance_std,mean_pairwise_error_phi_correlation,mean_pairwise_error_phi_correlation_std,mean_pairwise_joint_error_lift,mean_pairwise_joint_error_lift_std,mean_pairwise_error_jaccard,mean_pairwise_error_jaccard_std,prediction_one_rate,prediction_one_rate_std,mean_train_steps,mean_train_steps_std,mean_train_fit_step,mean_train_fit_step_std,pilot_steps,pilot_steps_std,model_count,model_count_std,probe_count,probe_count_std
aggregated_summary,random_bits,fixed random,0.0,2200,plateau,1,1,[],0.4998380000000001,,0.0,,0.49972000000000005,,0.0,,0.6399785964912281,,0.7400246666666667,,0.059546666666666664,,0.7329176029255134,,0.36002140350877193,,0.27995848372298576,,1.2797751833049344,,0.4707062397265676,,0.501502,,3200.0,,275.0,,3200.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,3000,plateau,1,1,[],0.4990023333333333,,0.0,,0.4980933333333334,,0.0,,0.626040947368421,,0.7279903333333334,,0.04561333333333333,,0.7579047841215054,,0.37395905263157897,,0.25208136010825166,,1.2510860417903749,,0.45644104063779606,,0.499363,,3300.0,,310.0,,3300.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,4500,plateau,1,1,[],0.4997396666666666,,0.0,,0.5008533333333334,,0.0,,0.6074836140350877,,0.7117516666666667,,0.0293,,0.7907687602614121,,0.3925163859649123,,0.21496819249910604,,1.2147433923854354,,0.43646076164513076,,0.5021856666666666,,3600.0,,565.0,,3600.0,,20.0,,5000.0,
aggregated_summary,random_bits,fixed random,0.0,6000,plateau,1,1,[],0.49967999999999996,,0.0,,0.5021266666666666,,0.0,,0.5966696842105262,,0.7018119999999999,,0.0215,,0.8094697020298622,,0.4033303157894737,,0.19333955769757444,,1.1930915339133383,,0.4254451499217825,,0.500176,,4000.0,,1145.0,,4000.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,100,plateau,1,1,[],0.6809636666666666,,3.0000000000000004e-05,,0.6880200000000001,,0.0,,0.8974541403508771,,0.9300756666666665,,0.6643466666666666,,0.2179903482085274,,0.10254585964912281,,0.7639997059288292,,2.6307313928834906,,0.7230858556698297,,0.489007,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,200,plateau,1,1,[],0.7214920000000001,,0.00013000000000000002,,0.7438933333333333,,0.0002,,0.8475009122807017,,0.8965806666666669,,0.49401333333333336,,0.3252417232048923,,0.15249908771929824,,0.621066102483289,,2.6116524208346625,,0.5707058623520976,,0.48513466666666666,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,300,plateau,1,1,[],0.7655803333333334,,0.00066,,0.78632,,0.0012,,0.8635707719298247,,0.9075836666666666,,0.5430933333333333,,0.2914553445171304,,0.13642922807017546,,0.6199911353878084,,3.025331677518762,,0.5492612868524696,,0.492411,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,400,plateau,1,1,[],0.8142613333333333,,0.00416,,0.8392533333333333,,0.0114,,0.8667640701754386,,0.9097919999999999,,0.55184,,0.2848813690616417,,0.13323592982456137,,0.5596843848952191,,3.4549841302813835,,0.47223144398365335,,0.4988606666666667,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,600,plateau,1,1,[],0.9280606666666668,,0.12749,,0.96644,,0.3946,,0.9071357894736841,,0.9399219999999999,,0.63738,,0.20523656086976313,,0.09286421052631579,,0.3063041371633187,,5.000841015822775,,0.21561880594492133,,0.5031993333333333,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,800,plateau,1,1,[],0.9954569999999998,,0.8743500000000001,,0.9999333333333333,,0.998,,0.991438,,0.9954689999999998,,0.9362,,0.022474087931011345,,0.008561999999999998,,0.05318336478841469,,12.936130670964634,,0.029139932182057817,,0.5011263333333333,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,1000,plateau,1,1,[],0.9999823333333333,,0.99947,,1.0,,1.0,,0.9999647368421052,,0.9999823333333334,,0.9996533333333333,,0.00010050160271002033,,3.526315789473684e-05,,0.0010592234125425789,,20.83333333333333,,0.00033967391304347825,,0.5011256666666667,,1600.0,,100.0,,1600.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,1200,plateau,1,1,[],0.9999990000000001,,0.99997,,1.0,,1.0,,0.9999979999999999,,0.9999989999999999,,0.99998,,5.727939142319126e-06,,2e-06,,-6.6667111114074095e-06,,0.0,,0.0,,0.5002263333333333,,1100.0,,100.0,,1100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,1500,plateau,1,1,[],1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,,,,,,,,0.4999,,1100.0,,100.0,,1100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,1800,plateau,1,1,[],1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,,,,,,,,0.49995333333333336,,1100.0,,100.0,,1100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,2200,plateau,1,1,[],1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,,,,,,,,0.5005466666666667,,1100.0,,100.0,,1100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,3000,plateau,1,1,[],1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,,,,,,,,0.5002066666666667,,1100.0,,100.0,,1100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,4500,plateau,1,1,[],1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,,,,,,,,0.50132,,1100.0,,100.0,,1100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer1,rule30 layer1,1.0,6000,plateau,1,1,[],1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.0,,,,,,,,0.50242,,1100.0,,100.0,,1100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,100,plateau,1,1,[],0.5478806666666667,,0.0,,0.5503533333333334,,0.0,,0.867337543859649,,0.9092880000000001,,0.57134,,0.2813542618501709,,0.13266245614035088,,0.7322210774844614,,1.8873121847695284,,0.7441220253406677,,0.49728666666666665,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,200,plateau,1,1,[],0.5589966666666667,,0.0,,0.5671266666666667,,0.0,,0.7880804210526315,,0.8539726666666666,,0.33808,,0.44647411309629215,,0.2119195789473684,,0.5702300379273475,,1.7231571071396061,,0.613063556230405,,0.5024986666666666,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,300,plateau,1,1,[],0.570634,,0.0,,0.5820866666666666,,0.0,,0.770816701754386,,0.8413280000000001,,0.2979266666666667,,0.48102003638951935,,0.22918329824561404,,0.5323307499775511,,1.7076644341612814,,0.5788746315201883,,0.5017873333333334,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,400,plateau,1,1,[],0.5844526666666665,,0.0,,0.5968266666666666,,0.0,,0.770734596491228,,0.8411486666666665,,0.30078,,0.480747846356943,,0.22926540350877192,,0.5280092966833193,,1.7426505367888532,,0.5676384429439723,,0.503978,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,600,plateau,1,1,[],0.6018706666666667,,1e-05,,0.6226733333333334,,0.0,,0.7380145263157895,,0.8172266666666667,,0.22145333333333334,,0.5466463152955623,,0.26198547368421055,,0.45338877009092476,,1.6856844358616483,,0.5050254969091771,,0.500498,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,800,plateau,1,1,[],0.6231196666666666,,0.0,,0.64774,,0.0,,0.7398906315789473,,0.818557,,0.22721333333333332,,0.5427342051015442,,0.26010936842105264,,0.44627378193725414,,1.7382123192375274,,0.4870825393651227,,0.499333,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,1000,plateau,1,1,[],0.6420183333333334,,1e-05,,0.6730266666666667,,0.0,,0.7383269824561404,,0.8172883333333333,,0.22451333333333334,,0.5456870467469825,,0.2616730175438597,,0.4307424258207952,,1.7725797143476765,,0.46471555157894695,,0.499517,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,1200,plateau,1,1,[],0.6657176666666667,,2e-05,,0.7083999999999999,,0.0,,0.7238133684210526,,0.8065596666666668,,0.19206666666666666,,0.5745709536338885,,0.27618663157894735,,0.37954470991657396,,1.756172368807994,,0.4153699728235414,,0.495915,,10100.0,,195.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,1500,plateau,1,1,[],0.717835,,0.00011,,0.7713866666666667,,0.0004,,0.7419328070175439,,0.8203103333333334,,0.2283,,0.5391747402436785,,0.2580671929824561,,0.36311339694733386,,1.9244136193338028,,0.3723316404651554,,0.4940716666666667,,10100.0,,175.0,,10100.0,,20.0,,5000.0,
