depth_mid,easy,fraction_replicas_rate_positive,hard,ratio_growth_rate_max,ratio_growth_rate_median,ratio_growth_rate_min,threshold_high,threshold_low
4.25667494393876,parity2,0.0,mux3,-4.9603273549684035,-6.672384640295231,-7.696520188858037,0.01504552094156,0.01334418000413
4.376674943938819,parity2,0.0,mux3,-5.470964258489897,-6.453519505419442,-7.796979672864806,0.01334418000413,0.01183522595689
4.496674943939098,parity2,0.0,mux3,-5.013879765057344,-6.968083502975693,-7.9174157910468255,0.01183522595689,0.01049690377433
4.6166749439389765,parity2,0.0,mux3,-6.447813728369398,-7.128054875703957,-8.071877730750845,0.01049690377433,0.00930991847971
4.736674943938531,parity2,0.0,mux3,-6.197161430843349,-6.848362480903471,-8.566025507204069,0.00930991847971,0.00825715696383
4.856674943938411,parity2,0.0,mux3,-6.4240522807237515,-7.631871580645207,-8.64321633091824,0.00825715696383,0.0073234412604
4.976674943938288,parity2,0.0,mux3,-6.752264564863474,-7.8249549169479415,-8.410768248755856,0.0073234412604,0.00649530972095
5.096674943938721,parity2,0.0,mux3,-6.735420276351039,-7.882644654041489,-9.485598972294577,0.00649530972095,0.00576082293431
5.216674943939278,parity2,0.0,mux3,-7.6991742069639075,-8.168980110774694,-9.341883921047248,0.00576082293431,0.00510939159275
5.336674943939214,parity2,0.0,mux3,-5.967576414594258,-8.421340191024107,-8.985813251916806,0.00510939159275,0.0045316238228
5.456674943938761,parity2,0.0,mux3,-6.984501119226167,-8.488332498953195,-9.508250086238512,0.0045316238228,0.00401918977996
5.576674943938397,parity2,0.0,mux3,-6.383720319922896,-8.728530037479583,-9.215022702520379,0.00401918977996,0.00356470155489
5.696674943938474,parity2,0.0,mux3,-6.1252710106655295,-8.181906705084785,-9.859599385456214,0.00356470155489,0.00316160665983
5.81667494393914,parity2,0.0,mux3,-6.06398044264554,-7.979710830234307,-9.292762931080919,0.00316160665983,0.00280409355946
5.936674943940315,parity2,0.0,mux3,-5.622792749712009,-8.339189351222956,-9.426313488993129,0.00280409355946,0.00248700788435
6.056674943939979,parity2,0.0,mux3,-5.730474350628875,-7.513973265775443,-9.208169855243455,0.00248700788435,0.00220577811891
