depth,easy,easy_transition,easy_transition_brackets,fraction_replicas_ratio_positive,hard,hard_transition,hard_transition_brackets,log_volume_ratio_easy_over_hard_median,log_volume_ratio_max,log_volume_ratio_min,threshold
4.436674943939044,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-75.20132738128092,-71.97059396107011,-84.89054363059893,0.01183522595689
4.556674943939151,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-75.95548519459697,-72.81893288900835,-85.84063352552539,0.01049690377433
4.676674943938801,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-76.76348815589955,-73.6918290278362,-86.76688563352218,0.00930991847971
4.796674943938259,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-77.6728753573251,-74.50330171405096,-87.61181779656113,0.00825715696383
4.916674943938563,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-78.62704151048314,-75.47465594638902,-88.64900375627394,0.0073234412604
5.036674943938012,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-79.59739134417521,-76.48394813623509,-89.5931720921725,0.00649530972095
5.15667494393943,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-80.62888256225767,-77.53481433662546,-90.7314439688613,0.00576082293431
5.276674943939125,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-81.65718274341509,-78.53256227460656,-91.73046015751925,0.00510939159275
5.396674943939303,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-82.66774356633948,-79.59484389132024,-92.80875774775086,0.0045316238228
5.51667494393822,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-83.73991017405831,-80.6287004859513,-93.75303321598153,0.00401918977996
