acceptance_max,acceptance_mean,acceptance_min,elapsed_seconds,level,reached_requested,requested_threshold,survival_max,survival_mean,survival_min,threshold
0.3085530598958333,0.29931216769748265,0.2925618489583333,1501.2669843696058,970,False,0.03,0.5888671875,0.5348485310872396,0.5,0.049528345465660095
0.3062337239583333,0.29932096269395614,0.29327392578125,1504.1837910972536,971,False,0.03,0.57470703125,0.5364812215169271,0.50048828125,0.049293119460344315
0.3059285481770833,0.29923121134440106,0.29241943359375,1505.5878500975668,972,False,0.03,0.58642578125,0.5321044921875,0.50048828125,0.049055568873882294
0.3064168294270833,0.2992495430840386,0.2923380533854167,1506.9881954193115,973,False,0.03,0.57958984375,0.5301259358723959,0.5,0.048817671835422516
0.30902099609375,0.2993146048651801,0.293701171875,1508.3852953612804,974,False,0.03,0.599609375,0.5378875732421875,0.5,0.04858638346195221
0.3056844075520833,0.2997443940904405,0.2942301432291667,1509.7884798943996,975,False,0.03,0.58056640625,0.5347010294596354,0.5,0.048353757709264755
0.3069051106770833,0.29955005645751953,0.29217529296875,1511.183466412127,976,False,0.03,0.57275390625,0.5374806722005209,0.5,0.04812350124120712
0.3060302734375,0.29955069224039715,0.2938435872395833,1512.5741380043328,977,False,0.03,0.59912109375,0.5377883911132812,0.50048828125,0.04789457470178604
0.3051350911458333,0.2992335425482856,0.2923990885416667,1513.9645258821547,978,False,0.03,0.58056640625,0.5354537963867188,0.50048828125,0.04766417294740677
0.306884765625,0.29933834075927734,0.2928670247395833,1515.3564597405493,979,False,0.03,0.59521484375,0.5386250813802084,0.5,0.04743659496307373
0.3079020182291667,0.29955365922715926,0.2891031901041667,1516.748068727553,980,False,0.03,0.57666015625,0.5295613606770834,0.50048828125,0.047205034643411636
0.30621337890625,0.29953458574083114,0.2921956380208333,1519.6173102781177,981,False,0.03,0.5849609375,0.5333251953125,0.5,0.046976830810308456
0.3084920247395833,0.2998459074232313,0.2940266927083333,1521.0217904113233,982,False,0.03,0.57568359375,0.5333124796549479,0.5,0.046748965978622437
0.30804443359375,0.29975212944878477,0.2920328776041667,1522.4246544204652,983,False,0.03,0.57861328125,0.5332590738932291,0.50048828125,0.046522293239831924
0.3062744140625,0.2993895212809245,0.29193115234375,1523.8180226385593,984,False,0.03,0.583984375,0.5324452718098959,0.50048828125,0.046295665204524994
0.3075154622395833,0.29941590627034503,0.2920735677083333,1525.2172456271946,985,False,0.03,0.58447265625,0.53692626953125,0.5,0.04607386887073517
0.3067423502604167,0.2995918061998155,0.2927042643229167,1526.6118875928223,986,False,0.03,0.58740234375,0.5409571329752604,0.50048828125,0.045856982469558716
0.3052571614583333,0.2992146809895833,0.29150390625,1528.0133756883442,987,False,0.03,0.58935546875,0.5441004435221354,0.5,0.0456414595246315
0.3051554361979167,0.2993033727010091,0.29095458984375,1529.4082921482623,988,False,0.03,0.5888671875,0.5376358032226562,0.5,0.04542252793908119
0.3065388997395833,0.29949039883083767,0.2923583984375,1530.815244924277,989,False,0.03,0.58203125,0.5383758544921875,0.5,0.04520552232861519
0.3065592447916667,0.29970677693684894,0.2922566731770833,1532.2170132175088,990,False,0.03,0.58154296875,0.5332107543945312,0.50048828125,0.04498578608036041
0.3075154622395833,0.29955599043104386,0.29052734375,1535.0827698111534,991,False,0.03,0.5869140625,0.5408121744791666,0.5,0.0447719544172287
0.3066202799479167,0.29933124118381077,0.2925821940104167,1536.4901260212064,992,False,0.03,0.58544921875,0.5334803263346354,0.50048828125,0.04455365240573883
0.30780029296875,0.29943264855278856,0.291259765625,1537.896141525358,993,False,0.03,0.59375,0.5510152180989584,0.5,0.044347282499074936
0.306640625,0.2994258668687608,0.292236328125,1539.2926911376417,994,False,0.03,0.5830078125,0.5389200846354166,0.50048828125,0.04413498938083649
0.3054402669270833,0.2995978461371528,0.2906087239583333,1540.684835460037,995,False,0.03,0.58203125,0.542327880859375,0.5,0.04392485320568085
0.3097737630208333,0.29915279812282985,0.2863566080729167,1542.0719846859574,996,False,0.03,0.57666015625,0.531158447265625,0.50048828125,0.04371047392487526
0.3055013020833333,0.29919317033555776,0.2915242513020833,1543.4651839621365,997,False,0.03,0.5888671875,0.5323918660481771,0.5,0.04349696636199951
0.30731201171875,0.29940022362603075,0.2931111653645833,1544.8584147840738,998,False,0.03,0.57373046875,0.5365651448567709,0.5,0.04328709840774536
0.3056640625,0.29929478963216144,0.2919108072916667,1546.255510210991,999,False,0.03,0.580078125,0.53704833984375,0.5,0.043078020215034485
0.3055826822916667,0.29928355746799046,0.29156494140625,1547.6476256288588,1000,False,0.03,0.5751953125,0.5356190999348959,0.5,0.04286874830722809
0.3061930338541667,0.2991950776841905,0.2931315104166667,1550.5200518853962,1001,False,0.03,0.57666015625,0.5337727864583334,0.50048828125,0.042658768594264984
0.3067626953125,0.2991821500990126,0.2923787434895833,1551.9392673298717,1002,False,0.03,0.587890625,0.5390065511067709,0.5,0.04245394468307495
0.3058268229166667,0.2993916405571832,0.2909749348958333,1553.3497658781707,1003,False,0.03,0.60107421875,0.5446446736653646,0.50048828125,0.04225386679172516
0.3059488932291667,0.29910755157470703,0.2918701171875,1554.7488817498088,1004,False,0.03,0.5947265625,0.5377324422200521,0.5,0.04204956069588661
0.3072102864583333,0.299599117702908,0.2922159830729167,1556.1488455310464,1005,False,0.03,0.599609375,0.5361760457356771,0.50048828125,0.04184480011463165
0.3086344401041667,0.29951773749457467,0.29052734375,1557.5490754954517,1006,False,0.03,0.57275390625,0.5312423706054688,0.5,0.04163849353790283
0.3072102864583333,0.29943052927652997,0.2918701171875,1558.9557816386223,1007,False,0.03,0.58056640625,0.5350240071614584,0.50048828125,0.04143486171960831
0.308349609375,0.2997673882378472,0.2921346028645833,1560.346141565591,1008,False,0.03,0.576171875,0.5352656046549479,0.50048828125,0.04123387485742569
0.3064371744791667,0.2991484536064996,0.2916463216145833,1561.7360572591424,1009,False,0.03,0.5771484375,0.5323537190755209,0.5,0.041031014174222946
0.30572509765625,0.2992076873779297,0.29345703125,1563.1209155209363,1010,False,0.03,0.57470703125,0.5356369018554688,0.5009765625,0.04083120822906494
