copy_x1_similarity_mean,copy_x2_similarity_mean,dataset_count,log_volume_median_over_datasets,parity_alt_similarity_mean,sampling_protocol,target_function_mass_mean,target_name,threshold,train_hard_exact_mass_mean,unseen_agreement_mean,unseen_target_accuracy_mean
0.5023458003997803,0.5018541812896729,8,-594.6000771852678,0.5001423358917236,cell_balanced,0.4136810302734375,parity2,0.03,1.0,0.9768193502038129,0.9762578691755022
0.7536039352416992,0.7449071407318115,8,-515.6031975415797,0.29383277893066406,cell_balanced,0.2637939453125,mux3,0.03,1.0,0.9717004403156848,0.948868887765067
0.4910920262336731,0.4942273497581482,8,-595.7934891076786,0.5075615048408508,conflict_enriched,0.485107421875,parity2,0.03,1.0,0.984155356938079,0.9866788727896554
0.7508098483085632,0.7480695843696594,8,-558.8043011052102,0.25325411558151245,conflict_enriched,0.724639892578125,mux3,0.03,1.0,0.9951414482584717,0.996269975389753
0.5012099146842957,0.501163899898529,8,-636.6155625239385,0.49254828691482544,uniform_random,0.2655181884765625,parity2,0.02,1.0,0.972870218004233,0.967867374420166
0.7401643991470337,0.7534430027008057,8,-530.62238306742,0.34780359268188477,uniform_random,0.000213623046875,mux3,0.02,1.0,0.9593684292112477,0.8842454637799945
0.502889096736908,0.5016160607337952,8,-645.6645431484295,0.5002722144126892,cell_balanced,0.4693145751953125,parity2,0.02,1.0,0.9811078882307257,0.9810504232134138
0.7548781633377075,0.743911862373352,8,-563.6153473958669,0.2894551753997803,cell_balanced,0.284332275390625,mux3,0.02,1.0,0.9751451200663198,0.9540504728044783
0.49205178022384644,0.4945676922798157,8,-646.4275676602176,0.5066273808479309,conflict_enriched,0.4980926513671875,parity2,0.02,1.0,0.986130157879088,0.9886562483651298
0.7506074905395508,0.7485916614532471,8,-606.8669404860382,0.25228655338287354,conflict_enriched,0.782073974609375,mux3,0.02,1.0,0.9963814662667394,0.9973824364798409
