condition_index,dataset_index,lineage_count,log_volume,replica,sampling_protocol,target_function_mass,target_name,threshold,train_hard_exact_mass,unseen_agreement,unseen_target_accuracy
47,7,5,-290.65957842542974,1,conflict_enriched,0.01123046875,mux3,0.2,0.99462890625,0.9507836634635726,0.950958251953125
47,7,3,-290.4961899440292,2,conflict_enriched,0.01806640625,mux3,0.2,0.994140625,0.9532540517223048,0.9573233468191964
47,7,3,-291.0749986971239,3,conflict_enriched,0.0224609375,mux3,0.2,0.99462890625,0.9544396007441203,0.9579293387276786
0,0,4,-408.66800779224343,0,uniform_random,0.0,parity2,0.1,1.0,0.9257374639096467,0.8496420724051339
0,0,4,-410.22166182571004,1,uniform_random,0.0,parity2,0.1,1.0,0.9257563039191445,0.8535614013671875
0,0,3,-410.49835395265495,2,uniform_random,0.00048828125,parity2,0.1,1.0,0.9244125614329987,0.8548366001674107
0,0,3,-410.24023588561874,3,uniform_random,0.0,parity2,0.1,1.0,0.9224403813159993,0.8564649309430804
1,0,6,-279.37267812440354,0,uniform_random,0.0,mux3,0.1,0.94873046875,0.9389583862653972,0.76080322265625
1,0,6,-280.3347938232559,1,uniform_random,0.0,mux3,0.1,0.94189453125,0.9418245169528906,0.7655421665736607
1,0,4,-279.8876777029394,2,uniform_random,0.0,mux3,0.1,0.93505859375,0.9425525216698871,0.76416015625
1,0,7,-280.0421618293962,3,uniform_random,0.0,mux3,0.1,0.93994140625,0.9400155778722892,0.7612217494419643
2,1,3,-442.8129059891515,0,uniform_random,0.16162109375,parity2,0.1,1.0,0.9636813921225912,0.9698159354073661
2,1,2,-436.72612245359977,1,uniform_random,0.1455078125,parity2,0.1,1.0,0.9638056816629792,0.9699510846819196
2,1,1,-432.8121772293177,2,uniform_random,0.142578125,parity2,0.1,1.0,0.9650098066019142,0.9705875941685268
2,1,1,-438.1745456361811,3,uniform_random,0.1181640625,parity2,0.1,1.0,0.9625415736777525,0.9679500034877232
3,1,3,-304.6380563729447,0,uniform_random,0.0,mux3,0.1,0.98583984375,0.9583663051247687,0.7568010602678571
3,1,2,-305.1904061999857,1,uniform_random,0.0,mux3,0.1,0.98291015625,0.9564216566381987,0.7569667271205357
3,1,4,-304.5884244390336,2,uniform_random,0.0,mux3,0.1,0.990234375,0.9560409589558871,0.7631007603236607
3,1,2,-302.93828628136464,3,uniform_random,0.0,mux3,0.1,0.98486328125,0.9573049412842564,0.7587432861328125
4,2,1,-419.20230254041195,0,uniform_random,0.00048828125,parity2,0.1,1.0,0.9437135186196371,0.9199785505022321
4,2,2,-422.4255417073777,1,uniform_random,0.0048828125,parity2,0.1,1.0,0.9317712591467969,0.9084581647600446
4,2,2,-424.96672015456375,2,uniform_random,0.0,parity2,0.1,1.0,0.9280219801189895,0.90411376953125
4,2,2,-418.6546315165112,3,uniform_random,0.00244140625,parity2,0.1,1.0,0.94172663239077,0.9178815569196429
5,2,3,-324.8195617965228,0,uniform_random,0.0,mux3,0.1,0.9970703125,0.9520913424316509,0.8354143415178571
5,2,5,-323.76520906588087,1,uniform_random,0.0,mux3,0.1,0.99560546875,0.9506945109881512,0.8379647391183036
5,2,5,-322.2732658820216,2,uniform_random,0.0,mux3,0.1,0.998046875,0.9484413536189447,0.8330143519810268
5,2,3,-322.2773533415708,3,uniform_random,0.0,mux3,0.1,0.99658203125,0.9495421055598022,0.8369315011160714
6,3,2,-421.2720812562646,0,uniform_random,0.0,parity2,0.1,1.0,0.93387644811222,0.9005039760044643
6,3,2,-422.3267806465225,1,uniform_random,0.0,parity2,0.1,1.0,0.9351819717457276,0.900787353515625
6,3,2,-421.1889746172376,2,uniform_random,0.0029296875,parity2,0.1,1.0,0.9379033286953032,0.9088832310267857
6,3,2,-422.26952126642783,3,uniform_random,0.00048828125,parity2,0.1,1.0,0.9349935354445366,0.8996603829520089
7,3,2,-350.7898083446893,0,uniform_random,0.0,mux3,0.1,1.0,0.9309863403925169,0.8282470703125
7,3,1,-348.8037739923131,1,uniform_random,0.0,mux3,0.1,0.99951171875,0.9328572432122465,0.8357151576450893
7,3,2,-348.9369125659152,2,uniform_random,0.0,mux3,0.1,1.0,0.9309004273082832,0.8295397077287946
7,3,3,-351.62166718660677,3,uniform_random,0.0,mux3,0.1,1.0,0.9297581532302825,0.8437543596540179
8,4,4,-425.7431952968541,0,uniform_random,0.048828125,parity2,0.1,1.0,0.945534993569095,0.9462847028459821
8,4,3,-426.4088713769053,1,uniform_random,0.0302734375,parity2,0.1,1.0,0.9466458044478745,0.9451686314174107
8,4,2,-424.20840038452,2,uniform_random,0.0498046875,parity2,0.1,1.0,0.9482353636937112,0.9468732561383929
8,4,2,-422.97476689987843,3,uniform_random,0.0224609375,parity2,0.1,1.0,0.9437913619778945,0.9374520438058036
9,4,8,-263.981602987395,0,uniform_random,0.0,mux3,0.1,1.0,0.9868380639547912,0.8497685023716518
9,4,8,-263.35733765213786,1,uniform_random,0.0,mux3,0.1,1.0,0.9872070776791438,0.8500257219587054
9,4,8,-263.75225565840265,2,uniform_random,0.0,mux3,0.1,1.0,0.9856926484553561,0.8490971156529018
9,4,7,-263.29916999907647,3,uniform_random,0.0,mux3,0.1,1.0,0.9885795338220894,0.850860595703125
10,5,1,-413.16877526694765,0,uniform_random,0.005859375,parity2,0.1,1.0,0.9463883356768834,0.9389822823660714
10,5,1,-411.6276783988565,1,uniform_random,0.00634765625,parity2,0.1,1.0,0.9420627176291578,0.9348035539899554
10,5,2,-413.5000133424238,2,uniform_random,0.00732421875,parity2,0.1,1.0,0.9444244297444759,0.9376002720424107
10,5,2,-413.0384127975527,3,uniform_random,0.00439453125,parity2,0.1,1.0,0.9416655163029848,0.9340079171316964
11,5,2,-331.6459719895918,0,uniform_random,0.0,mux3,0.1,0.99853515625,0.9413004660940826,0.8582959856305804
11,5,3,-330.8529134376939,1,uniform_random,0.0,mux3,0.1,0.99365234375,0.9400951974647678,0.8603559221540179
11,5,2,-332.205995973813,2,uniform_random,0.0,mux3,0.1,0.99853515625,0.9405787761666138,0.8584463936941964
11,5,1,-328.1254602238506,3,uniform_random,0.0,mux3,0.1,0.99658203125,0.94114756725598,0.8598371233258929
12,6,1,-447.4038553947836,0,uniform_random,0.11572265625,parity2,0.1,1.0,0.9549500785325541,0.9613473074776786
12,6,1,-449.82824434458473,1,uniform_random,0.0078125,parity2,0.1,1.0,0.941363262576113,0.9130990164620536
12,6,1,-443.43958130724303,2,uniform_random,0.322265625,parity2,0.1,1.0,0.9672419281612846,0.9777592250279018
