cohort_copy_x1_full_agreement_mean,cohort_copy_x2_full_agreement_mean,conflict_fraction_mean,copy_x1_accuracy_mean,copy_x2_accuracy_mean,dataset_count,maximum_cell_count_mean,minimum_cell_count_mean,modal_copy_x1_full_agreement_mean,modal_copy_x2_full_agreement_mean,n,optimizer_name,recovery_rate,sampling_protocol,semantic_repetitions,target_mass_mean,target_name,unseen_agreement_mean,unseen_target_accuracy_mean
0.4999990463256836,0.5000009536743164,0.5,0.5,0.5,128,24.0,24.0,0.5,0.5,96,adamw,1.0,cell_balanced,24.0,0.999755859375,parity2,0.9999969482421875,0.9999984741210938
0.5,0.5,0.5,0.5,0.5,128,26.0,26.0,0.5,0.5,104,adamw,1.0,cell_balanced,26.0,1.0,parity2,1.0,1.0
0.4999980926513672,0.5000019073486328,0.5,0.5,0.5,128,28.0,28.0,0.5,0.5,112,adamw,1.0,cell_balanced,28.0,0.999755859375,parity2,0.9999932183159722,0.9999966091579862
0.7385311126708984,0.7345829010009766,0.5,0.75,0.75,128,4.0,4.0,0.744659423828125,0.723663330078125,32,adamw,0.0,cell_balanced,4.0,0.0,mux3,0.9444021761142714,0.8481663295200893
0.7476463317871094,0.7420330047607422,0.5,0.75,0.75,128,5.0,5.0,0.752593994140625,0.734161376953125,40,adamw,0.0,cell_balanced,5.0,0.014404296875,mux3,0.9539439065766876,0.9036571361400463
0.7502508163452148,0.7461881637573242,0.5,0.75,0.75,128,6.0,6.0,0.75152587890625,0.74517822265625,48,adamw,0.015625,cell_balanced,6.0,0.092529296875,mux3,0.9695676136253489,0.947820810171274
0.7496786117553711,0.7491025924682617,0.5,0.75,0.75,128,7.0,7.0,0.750732421875,0.74884033203125,56,adamw,0.109375,cell_balanced,7.0,0.296875,mux3,0.9814116840977822,0.974183349609375
0.7496128082275391,0.7501373291015625,0.5,0.75,0.75,128,8.0,8.0,0.749908447265625,0.749969482421875,64,adamw,0.25,cell_balanced,8.0,0.55078125,mux3,0.9900885141024025,0.9883804321289062
0.749934196472168,0.7500162124633789,0.5,0.75,0.75,128,9.0,9.0,0.749786376953125,0.750213623046875,72,adamw,0.546875,cell_balanced,9.0,0.77978515625,mux3,0.9962403884609485,0.9964639414911685
0.7502288818359375,0.7497711181640625,0.5,0.75,0.75,128,10.0,10.0,0.750152587890625,0.749847412109375,80,adamw,0.828125,cell_balanced,10.0,0.92333984375,mux3,0.9987535224981672,0.998992919921875
0.7501029968261719,0.7498970031738281,0.5,0.75,0.75,128,11.0,11.0,0.75006103515625,0.74993896484375,88,adamw,0.9375,cell_balanced,11.0,0.968505859375,mux3,0.9994796541978687,0.9995785667782738
0.7500419616699219,0.7499580383300781,0.5,0.75,0.75,128,12.0,12.0,0.75,0.75,96,adamw,0.9765625,cell_balanced,12.0,0.99072265625,mux3,0.9998602098034275,0.9999145507812499
0.750004768371582,0.749995231628418,0.5,0.75,0.75,128,13.0,13.0,0.75,0.75,104,adamw,0.9921875,cell_balanced,13.0,0.9970703125,mux3,0.9999489128488435,0.9999726947985197
0.75,0.75,0.5,0.75,0.75,128,14.0,14.0,0.75,0.75,112,adamw,1.0,cell_balanced,14.0,1.0,mux3,1.0,1.0
0.48970508575439453,0.4941377639770508,0.75,0.5,0.5,128,8.0,8.0,0.48944091796875,0.50494384765625,32,adamw,0.0,conflict_enriched,8.0,0.01025390625,parity2,0.9238736200991864,0.8239713396344867
0.49636077880859375,0.49761199951171875,0.75,0.5,0.49921875,128,10.0,10.0,0.494110107421875,0.502044677734375,40,adamw,0.0,conflict_enriched,10.0,0.047119140625,parity2,0.9441263615871416,0.9002617730034722
0.4984140396118164,0.49929332733154297,0.75,0.5,0.5,128,12.0,12.0,0.49725341796875,0.50103759765625,48,adamw,0.015625,conflict_enriched,12.0,0.180908203125,parity2,0.9653159016119339,0.9514664870042068
